usuario,genero,minutos_reproducidos
u07271,Accion,142
u00861,Accion,60
u05391,Comedia,5
u05192,Accion,111
u05735,Romance,118
u06266,Suspenso,82
u00467,Romance,69
u04427,Suspenso,79
u05579,Terror,63
u08323,Drama,140
u01686,Accion,123
u00770,Comedia,17
u06950,Terror,68
u02434,Comedia,44
u05312,Comedia,5
u05052,Accion,125
u06421,Accion,38
u01185,Accion,90
u04556,Suspenso,116
u03386,Terror,113
u06397,Comedia,43
u08667,Accion,102
u09275,Accion,99
u02559,Comedia,15
u07850,Accion,113
u02048,Terror,110
u02748,Suspenso,86
u09168,Accion,68
u09999,Terror,79
u00190,Drama,111
u02735,Documental,37
u03006,Suspenso,120
u04659,Drama,149
u01900,Drama,150
u07735,Accion,87
u01268,Romance,75
u01529,Drama,128
u03557,Drama,108
u03891,Drama,114
u08839,Comedia,54
u05394,Suspenso,123
u08793,Suspenso,73
u08434,Comedia,65
u07514,Comedia,60
u02613,Accion,77
u07042,Accion,129
u09556,Comedia,46
u06236,Romance,91
u05487,Drama,119
u07100,Drama,119
u09671,Romance,38
u00776,Suspenso,153
u08227,Accion,89
u03153,Accion,172
u01586,Accion,34
u03944,Comedia,54
u07556,Suspenso,131
u03074,Terror,127
u01022,Accion,114
u03844,Drama,149
u07990,Accion,130
u09693,Accion,77
u06874,Accion,143
u05676,Romance,91
u00162,Comedia,73
u04298,Romance,135
u00996,Terror,111
u07630,Terror,127
u09468,Suspenso,84
u01017,Accion,63
u07870,Suspenso,139
u06440,Accion,139
u07893,Documental,116
u06864,Suspenso,98
u07917,Documental,20
u08530,Romance,92
u00879,Comedia,54
u09269,Romance,113
u04888,Comedia,80
u04860,Drama,93
u06332,Suspenso,93
u08572,Comedia,70
u08685,Accion,85
u07209,Romance,94
u05277,Accion,132
u02063,Comedia,88
u00065,Drama,123
u08007,Suspenso,93
u02569,Suspenso,112
u05464,Drama,28
u02028,Drama,105
u02696,Suspenso,63
u09688,Comedia,36
u05259,Drama,177
u05619,Accion,103
u06737,Romance,78
u00392,Drama,108
u05893,Terror,73
u03562,Accion,55
u06185,Drama,151
u03100,Comedia,44
u06279,Accion,145
u08393,Suspenso,73
u03105,Suspenso,140
u07216,Accion,162
u02455,Comedia,59
u08997,Comedia,23
u02732,Drama,116
u08155,Drama,168
u09763,Drama,164
u05057,Accion,128
u08111,Accion,143
u03841,Terror,138
u01029,Documental,53
u07386,Romance,80
u00503,Suspenso,99
u06911,Accion,151
u09063,Accion,99
u06939,Terror,54
u04489,Comedia,79
u00207,Comedia,13
u05135,Romance,58
u05978,Accion,108
u07722,Suspenso,99
u07036,Accion,87
u01485,Comedia,39
u07859,Drama,140
u00864,Comedia,74
u02791,Romance,112
u07409,Drama,188
u08756,Terror,87
u05117,Terror,93
u06020,Suspenso,117
u01758,Suspenso,106
u07575,Comedia,76
u06375,Suspenso,148
u06893,Drama,67
u01679,Terror,96
u03243,Accion,141
u04637,Accion,118
u01060,Terror,45
u06669,Comedia,50
u09915,Drama,114
u03158,Drama,91
u05916,Accion,125
u09790,Drama,163
u02694,Drama,120
u03628,Accion,88
u09556,Comedia,72
u05451,Comedia,33
u01664,Drama,129
u09722,Terror,83
u05593,Accion,123
u07393,Accion,93
u01307,Comedia,5
u06777,Suspenso,65
u05865,Drama,118
u09475,Drama,114
u07527,Comedia,52
u08902,Comedia,23
u05576,Documental,72
u05531,Romance,143
u04414,Terror,90
u03749,Comedia,41
u00664,Drama,107
u01999,Terror,126
u07995,Comedia,45
u01496,Drama,5
u03305,Accion,76
u03764,Accion,82
u05233,Accion,77
u01854,Terror,102
u06586,Accion,150
u01292,Romance,110
u03582,Comedia,88
u07555,Accion,78
u07281,Suspenso,80
u01637,Comedia,79
u03697,Comedia,58
u00699,Comedia,62
u04738,Comedia,33
u00855,Terror,64
u08165,Drama,122
u05856,Comedia,22
u07393,Comedia,29
u06529,Accion,134
u05250,Suspenso,81
u05173,Romance,166
u01708,Suspenso,88
u05792,Comedia,64
u09926,Documental,61
u05536,Drama,127
u04932,Terror,88
u03511,Terror,40
u00203,Terror,97
u04219,Drama,150
u08959,Accion,90
u04390,Comedia,55
u02328,Suspenso,138
u08005,Accion,48
u02932,Accion,134
u07778,Comedia,48
u00198,Comedia,25
u07126,Drama,174
u01931,Drama,96
u06288,Suspenso,132
u08801,Accion,114
u09340,Accion,155
u04283,Drama,135
u02512,Accion,170
u09987,Suspenso,165
u00660,Drama,125
u02812,Drama,153
u07099,Accion,126
u06547,Suspenso,64
u09562,Comedia,5
u01987,Drama,97
u08339,Terror,83
u02912,Romance,84
u01735,Accion,73
u01844,Accion,114
u08681,Accion,127
u02977,Terror,86
u01960,Accion,101
u05760,Drama,22
u06695,Terror,71
u02386,Terror,111
u04737,Comedia,14
u01803,Terror,135
u08156,Romance,91
u08121,Accion,42
u06617,Terror,109
u05535,Drama,47
u04062,Accion,161
u00263,Comedia,44
u06288,Suspenso,85
u08816,Drama,151
u09209,Accion,114
u02050,Documental,49
u05424,Terror,77
u04549,Comedia,5
u03109,Terror,61
u07159,Accion,80
u07401,Comedia,38
u03171,Accion,113
u09875,Comedia,83
u02256,Romance,105
u01155,Comedia,38
u04500,Comedia,66
u06296,Terror,76
u06198,Suspenso,104
u09889,Accion,139
u01649,Suspenso,101
u05540,Comedia,30
u09638,Accion,141
u04200,Comedia,55
u08446,Accion,122
u02558,Suspenso,92
u05593,Suspenso,173
u00099,Terror,92
u02201,Comedia,36
u02962,Accion,103
u04974,Terror,85
u04434,Accion,65
u02870,Comedia,48
u00957,Accion,125
u08353,Comedia,57
u05700,Accion,112
u06945,Accion,191
u04494,Comedia,39
u09493,Drama,106
u04912,Comedia,44
u03988,Accion,96
u09720,Accion,82
u06016,Accion,120
u01219,Terror,86
u04497,Accion,119
u04736,Suspenso,155
u04556,Suspenso,101
u09147,Suspenso,102
u08051,Suspenso,154
u03447,Terror,104
u01046,Suspenso,141
u06894,Terror,75
u01694,Comedia,58
u03437,Terror,84
u08755,Drama,107
u05896,Accion,132
u03355,Suspenso,168
u00226,Suspenso,92
u04894,Drama,130
u07023,Drama,127
u09152,Comedia,84
u05601,Terror,78
u07997,Accion,81
u09008,Terror,97
u07684,Comedia,16
u04643,Comedia,46
u07680,Suspenso,109
u08209,Accion,72
u07340,Suspenso,118
u09436,Documental,20
u02206,Comedia,19
u01070,Romance,123
u03445,Drama,201
u01061,Accion,59
u02328,Comedia,62
u03421,Suspenso,93
u00302,Terror,105
u00607,Drama,128
u03171,Accion,97
u00700,Terror,98
u05089,Comedia,88
u09332,Comedia,62
u00191,Terror,81
u00981,Drama,48
u02976,Accion,131
u06103,Terror,69
u01185,Accion,71
u03328,Terror,73
u03395,Comedia,44
u08320,Drama,110
u01817,Drama,80
u05855,Accion,148
u06710,Drama,85
u00570,Suspenso,74
u05443,Romance,54
u01896,Terror,93
u02734,Documental,90
u03864,Drama,59
u07456,Accion,120
u04015,Terror,99
u01687,Romance,136
u03010,Comedia,60
u07807,Comedia,66
u00155,Documental,5
u01410,Terror,77
u00785,Accion,212
u08097,Drama,175
u07561,Accion,150
u07344,Comedia,71
u07207,Accion,129
u05597,Accion,105
u05802,Drama,82
u02807,Accion,114
u00538,Suspenso,122
u05987,Terror,80
u01842,Comedia,42
u08717,Accion,131
u06972,Documental,65
u05626,Drama,78
u02951,Comedia,51
u07993,Accion,108
u04781,Accion,103
u02369,Suspenso,109
u06656,Drama,101
u08174,Documental,76
u04496,Romance,67
u09164,Accion,121
u06003,Documental,115
u06615,Documental,16
u09359,Suspenso,37
u05920,Comedia,37
u00854,Accion,120
u04147,Accion,127
u03770,Accion,57
u00575,Suspenso,118
u01149,Romance,67
u06294,Terror,98
u06458,Terror,87
u07510,Comedia,47
u09908,Drama,171
u04778,Terror,99
u03855,Accion,151
u02492,Terror,86
u03125,Accion,147
u05692,Comedia,47
u03052,Drama,128
u00005,Drama,110
u05223,Terror,90
u05316,Drama,116
u04870,Accion,64
u00877,Documental,99
u09184,Terror,124
u07028,Suspenso,85
u04143,Suspenso,81
u06967,Accion,88
u07080,Romance,60
u07988,Documental,93
u06800,Accion,96
u04466,Accion,129
u00636,Documental,29
u01694,Comedia,40
u09875,Suspenso,94
u04753,Accion,161
u08312,Terror,82
u00831,Terror,83
u05178,Romance,134
u09562,Terror,64
u08933,Accion,117
u08309,Comedia,15
u05950,Comedia,28
u02839,Drama,200
u01151,Comedia,110
u07561,Comedia,51
u01932,Terror,100
u09205,Comedia,9
u01665,Suspenso,125
u01082,Comedia,34
u00513,Drama,147
u07806,Suspenso,115
u05238,Suspenso,91
u00560,Drama,98
u03673,Comedia,62
u07405,Drama,107
u03344,Suspenso,126
